timestamp,x,y
1778752222.510553,1532,342
1778752222.528738,1578,357
1778752222.54285,1566,341
1778752222.560483,1544,338
1778752222.57642,1576,361
1778752222.592507,1578,352
1778752222.608653,1577,358
1778752222.627,1543,329
1778752222.643872,1591,364
1778752222.659101,1544,353
1778752222.676304,1544,356
1778752222.69333,1553,352
1778752222.710847,1581,373
1778752222.7265,1584,404
1778752222.743423,1604,394
1778752222.758216,1607,393
1778752222.775107,1592,367
1778752222.79191,1609,362
1778752222.806113,1627,382
1778752222.826647,1593,348
1778752222.84368,1594,353
1778752222.859194,1603,373
1778752222.874784,1594,370
1778752222.892255,1591,371
1778752222.907869,1607,380
1778752222.927944,1616,376
1778752222.940885,1597,375
1778752222.958796,1656,425
1778752222.973567,1668,442
1778752222.992158,1659,440
1778752223.009759,1653,445
1778752223.025832,1687,459
1778752223.043934,1685,454
1778752223.059686,1704,437
1778752223.077598,1683,436
1778752223.09578,1666,455
1778752223.113482,1662,457
1778752223.128139,1686,506
1778752223.147316,1675,486
1778752223.162689,1688,492
1778752223.180528,1645,445
1778752223.195992,1637,426
1778752223.216872,1651,414
1778752223.23503,1689,432
1778752223.252117,1653,401
1778752223.266547,1687,408
1778752223.285477,1665,415
1778752223.301245,1642,396
1778752223.318348,1668,413
1778752223.33298,1709,448
1778752223.355926,1676,421
1778752223.370513,1711,398
1778752223.388978,1715,362
1778752223.403431,1714,372
1778752223.42262,1744,374
1778752223.438628,1698,361
1778752223.455409,1723,369
1778752223.470596,1704,373
1778752223.488018,1720,368
1778752223.503718,1713,361
1778752223.521204,1702,357
1778752223.536622,1724,382
1778752223.553488,1735,356
1778752223.569675,1750,382
1778752223.586589,1734,402
1778752223.601328,1737,427
1778752223.61808,1705,415
1778752223.636714,1741,444
1778752223.654599,1739,451
1778752223.669621,1725,459
1778752223.688198,1742,454
1778752223.703554,1744,464
1778752223.721484,1769,497
1778752223.736987,1722,489
1778752223.756673,1715,483
1778752223.771501,1697,499
1778752223.790581,1690,501
